#Table1
objID,ra,dec,r,rErr,extinction_r,z,zErr
1237652900210606324,358.553238184292,-10.3209364316575,16.5686,0.01968305,0.1043265,0.08248513,1.336917E-05
1237652946914443500,358.571981266761,-10.4992753964803,17.53928,0.02319113,0.08495196,0.07316036,2.790688E-05
1237652900210606358,358.575299742664,-10.2680840718291,16.54139,0.01918687,0.09807229,0.07672565,1.66125E-05
1237652900210606361,358.578421731474,-10.2005007358681,16.67887,0.01923116,0.09222679,0.07981187,1.804131E-05
1237652900210671686,358.619590659477,-10.1540427561944,16.68105,0.02973262,0.08422123,0.07747092,1.761905E-05
1237652900210671746,358.665673522217,-10.250707332947,17.14178,0.03100897,0.08773666,0.07817213,1.219642E-05
1237652900210606291,358.537018878459,-10.1821232353452,17.22545,0.02056203,0.09578208,0.0651851,3.134386E-05
1237652900210671824,358.738141861343,-10.3611835921386,17.19207,0.02975964,0.08054228,0.08043037,2.168613E-05
1237652946914508930,358.832423457229,-10.3685900571923,17.67789,0.01540424,0.07746389,0.07540881,2.846313E-05
1237652946914443544,358.638144371761,-10.4373568244919,17.09874,0.02215264,0.08938396,0.07825747,2.309256E-05
1237652629097939069,358.494810301375,-10.6941316784735,15.62864,0.02448728,0.08918896,0.07922038,1.199809E-05
1237652946914443515,358.590399871747,-10.4245295882558,17.51218,0.0226985,0.09675201,0.07683779,2.904093E-05
1237652946914377948,358.52585278984,-10.4944397518732,17.49096,0.02857621,0.08846499,0.07957812,3.014457E-05
1237652946914312324,358.352845923872,-10.378591017583,17.20205,0.02200977,0.08754787,0.07819057,2.331018E-05
1237652946914443487,358.56163990325,-10.4722957149039,17.12352,0.02353214,0.08857735,0.08177786,3.130681E-05
1237652900210671779,358.704238487991,-10.3217609980701,16.15363,0.02973813,0.0838826,0.07325022,1.826006E-05
1237652900210737244,358.764282538511,-10.2800837864777,17.59291,0.01766977,0.07964293,0.07458811,2.953754E-05
1237652947451379882,358.789615353789,-10.0647665838603,17.81623,0.02282417,0.08002882,0.0729561,6.899481E-06
1237652629097873462,358.282116750262,-10.7442358603388,17.55275,0.02287282,0.09688368,0.07624307,2.726223E-05
1237652900210540660,358.404541779773,-10.2954200387817,16.5826,0.01631637,0.09748441,0.06649731,1.078597E-05
1237652946914377889,358.488462644458,-10.3803260951487,17.33233,0.0284444,0.1037915,0.07691626,2.547179E-05
1237652900210606263,358.516012543628,-10.3337066719008,15.58471,0.01896245,0.1066757,0.07040575,1.530799E-05
1237652946914508922,358.811306018452,-10.4965337610501,17.1053,0.01943901,0.08153101,0.08179656,9.249986E-06
1237652946914443286,358.556929004125,-10.4190219310755,14.28425,0.02192449,0.09868989,0.07762545,1.565132E-05
1237652900210671803,358.725707023034,-10.2880666815774,14.75547,0.02982079,0.08286333,0.07688311,1.497046E-05
